ID_ESTADO;UF;CAPITAL;SIGLA;REGIAO;Cidade;PIB;Pop_est_2009;PIB_percapita
4;AMAZONAS;178;AM;NORTE;Tefé;293563.5;64671;4539.33984375
4;AMAZONAS;178;AM;NORTE;Nhamundá;86443.9765625;18474;4679.22021484
4;AMAZONAS;178;AM;NORTE;Iranduba;188022.75;33884;5549.00976562
4;AMAZONAS;178;AM;NORTE;Boa Vista do Ramos;53763.04296875;13994;3841.86010742
4;AMAZONAS;178;AM;NORTE;Itacoatiara;919967.375;89440;10285.86035156
4;AMAZONAS;178;AM;NORTE;Alvarães;53516.7578125;13566;3944.91992188
4;AMAZONAS;178;AM;NORTE;Borba;119983.046875;32496;3692.23999023
4;AMAZONAS;178;AM;NORTE;Amaturá;34505.6796875;8828;3908.65991211
4;AMAZONAS;178;AM;NORTE;Guajará;63766.28515625;15031;4242.31982422
4;AMAZONAS;178;AM;NORTE;Careiro da Várzea;112120.0625;24704;4538.54003906
4;AMAZONAS;178;AM;NORTE;Atalaia do Norte;54603.19140625;14715;3710.7199707
4;AMAZONAS;178;AM;NORTE;Urucurituba;67527.9609375;18541;3642.09008789
4;AMAZONAS;178;AM;NORTE;Novo Aripuanã;85700.7265625;18952;4521.99023438
4;AMAZONAS;178;AM;NORTE;Presidente Figueiredo;304599.375;26282;11589.66015625
4;AMAZONAS;178;AM;NORTE;Careiro;117802.6171875;32638;3609.37011719
4;AMAZONAS;178;AM;NORTE;Juruá;40090.02734375;9275;4322.37011719
4;AMAZONAS;178;AM;NORTE;Maués;226922.828125;49666;4568.97998047
4;AMAZONAS;178;AM;NORTE;Pauini;69596.59375;19111;3641.69995117
4;AMAZONAS;178;AM;NORTE;Tapauá;87235.609375;19884;4387.22998047
4;AMAZONAS;178;AM;NORTE;Fonte Boa;115856.546875;18803;6161.60009766
4;AMAZONAS;178;AM;NORTE;São Paulo de Olivença;109349.2890625;32958;3317.84008789
4;AMAZONAS;178;AM;NORTE;Maraã;109074.7265625;18135;6014.60009766
4;AMAZONAS;178;AM;NORTE;Itapiranga;37870.4453125;9733;3890.92993164
